"number" "dsum" "count" "missing" "quant_error" "fname"
127 2694.0 2694 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_somalicus.tif"
128 1487.0 1487 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_stigmonyx.tif"
129 45.0 45 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Glischropus_javanus.tif"
130 1079.0 1079 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Glyphotes_simus.tif"
131 8890.0 8890 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gracilinanus_emiliae.tif"
132 1307.0 1307 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_aridulus.tif"
133 8573.0 8573 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_buntingi.tif"
134 2236.0 2236 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Grammomys_caniceps.tif"
135 1272.0 1272 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graomys_edithae.tif"
136 24806.0 24806 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_crassicaudatus.tif"
137 1906.0 1906 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_monardi.tif"
138 3420.0 3420 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Graphiurus_surdus.tif"
139 142.0 142 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Haeromys_margarettae.tif"
140 15852.0 15852 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Heliosciurus_punctatus.tif"
141 6372.0 6372 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Heliosciurus_undulatus.tif"
142 394.0 394 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Hesperoptenus_doriae.tif"
143 2.0 2 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Hesperoptenus_gaskelli.tif"
