condition group weight wgrp filename
1 1 0.117 1 ../lost_rasters/Amphibia_Pristimantis cosnipatae.tif
1 1 0.068 1 ../lost_rasters/Amphibia_Craugastor cruzi.tif
1 1 0.51 1 ../lost_rasters/Amphibia_Eleutherodactylus darlingtoni.tif
1 1 0.412 1 ../lost_rasters/Amphibia_Pristimantis deinops.tif
1 1 0.363 1 ../lost_rasters/Amphibia_Pristimantis diaphonus.tif
1 1 0.204 1 ../lost_rasters/Amphibia_Pristimantis diogenes.tif
1 1 0.137 1 ../lost_rasters/Amphibia_Craugastor epochthidius.tif
1 1 0.111 1 ../lost_rasters/Amphibia_Craugastor fecundus.tif
1 1 0.452 1 ../lost_rasters/Amphibia_Craugastor fleischmanni.tif
1 1 0.665 1 ../lost_rasters/Amphibia_Eleutherodactylus glanduliferoides.tif
1 1 0.13 1 ../lost_rasters/Amphibia_Craugastor gulosus.tif
1 1 0.36 1 ../lost_rasters/Amphibia_Strabomantis helonotus.tif
1 1 0.207 1 ../lost_rasters/Amphibia_Pristimantis jaimei.tif
1 1 0.441 1 ../lost_rasters/Amphibia_Eleutherodactylus jamaicensis.tif
1 1 0.28 1 ../lost_rasters/Amphibia_Pristimantis lichenoides.tif
1 1 0.473 1 ../lost_rasters/Amphibia_Eleutherodactylus lucioi.tif
1 1 0.252 1 ../lost_rasters/Amphibia_Pristimantis mars.tif
1 1 0.597 1 ../lost_rasters/Amphibia_Craugastor merendonensis.tif
1 1 0.235 1 ../lost_rasters/Amphibia_Pristimantis molybrignus.tif
1 1 0.295 1 ../lost_rasters/Amphibia_Strabomantis necerus.tif
1 1 0.145 1 ../lost_rasters/Amphibia_Craugastor obesus.tif
1 1 0.191 1 ../lost_rasters/Amphibia_Craugastor olanchano.tif
1 1 0.335 1 ../lost_rasters/Amphibia_Eleutherodactylus orcutti.tif
1 1 0.211 1 ../lost_rasters/Amphibia_Craugastor phasma.tif
1 1 0.908 1 ../lost_rasters/Amphibia_Pristimantis phragmipleuron.tif
1 1 0.137 1 ../lost_rasters/Amphibia_Pristimantis pugnax.tif
1 1 0.205 1 ../lost_rasters/Amphibia_Craugastor punctariolus.tif
1 1 0.034 1 ../lost_rasters/Amphibia_Ischnocnema pusilla.tif
1 1 0.155 1 ../lost_rasters/Amphibia_Ischnocnema randorum.tif
1 1 0.274 1 ../lost_rasters/Amphibia_Craugastor rhyacobatrachus.tif
1 1 0.149 1 ../lost_rasters/Amphibia_Craugastor saltuarius.tif
1 1 0.157 1 ../lost_rasters/Amphibia_Pristimantis signifer.tif
1 1 0.188 1 ../lost_rasters/Amphibia_Pristimantis spilogaster.tif
1 1 0.492 1 ../lost_rasters/Amphibia_Pristimantis stenodiscus.tif
1 1 0.181 1 ../lost_rasters/Amphibia_Pristimantis torrenticola.tif
1 1 0.17 1 ../lost_rasters/Amphibia_Craugastor trachydermus.tif
1 1 0.242 1 ../lost_rasters/Amphibia_Pristimantis xylochobates.tif
1 1 0.423 1 ../lost_rasters/Amphibia_Hylodes mertensi.tif
1 1 0.261 1 ../lost_rasters/Amphibia_Leptodactylus silvanimbus.tif
1 1 0.237 1 ../lost_rasters/Amphibia_Phantasmarana massarti.tif
1 1 0.344 1 ../lost_rasters/Amphibia_Physalaemus moreirae.tif
1 1 0.189 1 ../lost_rasters/Amphibia_Telmatobius bolivianus.tif
1 1 0.195 1 ../lost_rasters/Amphibia_Telmatobius ceiorum.tif
1 1 0.141 1 ../lost_rasters/Amphibia_Telmatobius cirrhacelis.tif
1 1 0.166 1 ../lost_rasters/Amphibia_Telmatobius colanensis.tif
1 1 0.239 1 ../lost_rasters/Amphibia_Telmatobius degener.tif
1 1 0.089 1 ../lost_rasters/Amphibia_Telmatobius edaphonastes.tif
1 1 0.205 1 ../lost_rasters/Amphibia_Telmatobius hockingi.tif
1 1 0.314 1 ../lost_rasters/Amphibia_Telmatobius laticeps.tif
1 1 0.114 1 ../lost_rasters/Amphibia_Telmatobius necopinus.tif
1 1 0.314 1 ../lost_rasters/Amphibia_Telmatobius niger.tif
1 1 0.08 1 ../lost_rasters/Amphibia_Telmatobius sibiricus.tif
1 1 0.239 1 ../lost_rasters/Amphibia_Telmatobius thompsoni.tif
1 1 0.283 1 ../lost_rasters/Amphibia_Telmatobius vellardi.tif
1 1 0.196 1 ../lost_rasters/Amphibia_Wakea madinika.tif
1 1 0.167 1 ../lost_rasters/Amphibia_Scutiger maculatus.tif
1 1 0.156 1 ../lost_rasters/Amphibia_Philautus kempii.tif
1 1 0.048 1 ../lost_rasters/Amphibia_Kalophrynus eok.tif
1 1 0.092 1 ../lost_rasters/Amphibia_Kalophrynus robinsoni.tif
1 1 0.148 1 ../lost_rasters/Amphibia_Microhyla maculifera.tif
1 1 0.202 1 ../lost_rasters/Amphibia_Parhoplophryne usambarica.tif
1 1 0.248 1 ../lost_rasters/Amphibia_Ericabatrachus baleensis.tif
1 1 0.273 1 ../lost_rasters/Amphibia_Phrynobatrachus manengoubensis.tif
1 1 0.072 1 ../lost_rasters/Amphibia_Amolops kaulbacki.tif
1 1 0.22 1 ../lost_rasters/Amphibia_Limnonectes ghoshi.tif
1 1 0.357 1 ../lost_rasters/Amphibia_Indirana longicrus.tif
1 1 0.08 1 ../lost_rasters/Amphibia_Meristogenys macrophthalmus.tif
1 1 0.387 1 ../lost_rasters/Amphibia_Micrixalus silvaticus.tif
1 1 0.471 1 ../lost_rasters/Amphibia_Nanorana mokokchungensis.tif
1 1 0.303 1 ../lost_rasters/Amphibia_Rana chevronta.tif
1 1 0.722 1 ../lost_rasters/Amphibia_Lithobates pueblae.tif
1 1 0.498 1 ../lost_rasters/Amphibia_Philautus jacobsoni.tif
1 1 0.364 1 ../lost_rasters/Amphibia_Philautus microdiscus.tif
1 1 0.384 1 ../lost_rasters/Amphibia_Hynobius turkestanicus.tif
1 1 0.425 1 ../lost_rasters/Amphibia_Bolitoglossa capitana.tif
1 1 0.472 1 ../lost_rasters/Amphibia_Oedipina altura.tif
1 1 0.104 1 ../lost_rasters/Amphibia_Oedipina maritima.tif
1 1 0.411 1 ../lost_rasters/Amphibia_Oedipina paucidentata.tif
1 1 0.171 1 ../lost_rasters/Amphibia_Pseudoeurycea anitae.tif
1 1 0.177 1 ../lost_rasters/Amphibia_Pseudoeurycea aquatica.tif
1 1 0.419 1 ../lost_rasters/Amphibia_Pseudoeurycea brunnata.tif
1 1 0.306 1 ../lost_rasters/Amphibia_Pseudoeurycea exspectata.tif
1 1 0.353 1 ../lost_rasters/Amphibia_Pseudoeurycea goebeli.tif
1 1 0.209 1 ../lost_rasters/Amphibia_Pseudoeurycea mixcoatl.tif
1 1 0.757 1 ../lost_rasters/Amphibia_Aquiloeurycea praecellens.tif
1 1 0.193 1 ../lost_rasters/Amphibia_Pseudoeurycea teotepec.tif
1 1 0.211 1 ../lost_rasters/Amphibia_Pseudoeurycea unguidentis.tif
1 1 0.199 1 ../lost_rasters/Amphibia_Thorius infernalis.tif
1 1 0.293 1 ../lost_rasters/Amphibia_Thorius magnipes.tif
1 1 0.675 1 ../lost_rasters/Amphibia_Hypselotriton wolterstorffi.tif
1 1 0.805 1 ../lost_rasters/Amphibia_Ichthyophis singaporensis.tif
1 1 0.534 1 ../lost_rasters/Amphibia_Uraeotyphlus interruptus.tif
1 1 0.403 1 ../lost_rasters/Amphibia_Uraeotyphlus malabaricus.tif
1 1 0.643 1 ../lost_rasters/Amphibia_Uraeotyphlus menoni.tif
1 2 0.702 2 ../lost_rasters/Reptilia_Chalcides ebneri.tif
1 2 0.116 2 ../lost_rasters/Reptilia_Abronia mitchelli.tif
1 2 0.215 2 ../lost_rasters/Reptilia_Abronia ochoterenai.tif
1 2 0.092 2 ../lost_rasters/Reptilia_Abronia ornelasi.tif
1 2 0.535 2 ../lost_rasters/Reptilia_Abronia ramirezi.tif
1 2 0.238 2 ../lost_rasters/Reptilia_Siderolamprus ingridae.tif
1 2 0.678 2 ../lost_rasters/Reptilia_Lepidophyma chicoasensis.tif
1 2 0.147 2 ../lost_rasters/Reptilia_Lepidophyma lowei.tif
1 1 0.057 1 ../lost_rasters/Amphibia_Polypedates chlorophthalmus.tif
1 1 0.364 1 ../lost_rasters/Amphibia_Gastrotheca fulvorufa.tif
1 1 0.066 1 ../lost_rasters/Amphibia_Atelopus pyrodactylus.tif
1 1 0.462 1 ../lost_rasters/Amphibia_Uraeotyphlus oommeni.tif
1 1 0.134 1 ../lost_rasters/Amphibia_Atelopus petersi.tif
1 1 0.18 1 ../lost_rasters/Amphibia_Allobates caribe.tif
1 1 0.194 1 ../lost_rasters/Amphibia_Chiasmocleis sapiranga.tif
1 1 0.236 1 ../lost_rasters/Amphibia_Telmatobius espadai.tif
1 1 0.247 1 ../lost_rasters/Amphibia_Atelopus onorei.tif
1 1 0.334 1 ../lost_rasters/Amphibia_Gastrotheca ernestoi.tif
1 4 0.245 4 ../lost_rasters/Mammalia_Zaglossus attenboroughi.tif
1 4 0.144 4 ../lost_rasters/Mammalia_Crocidura trichura.tif
1 4 0.279 4 ../lost_rasters/Mammalia_Saccopteryx antioquensis.tif
1 4 0.188 4 ../lost_rasters/Mammalia_Uromys emmae.tif
1 4 0.12 4 ../lost_rasters/Mammalia_Pteropus aruensis.tif
1 4 0.133 4 ../lost_rasters/Mammalia_Pteralopex flanneryi.tif
1 4 0.151 4 ../lost_rasters/Mammalia_Tympanoctomys loschalchalerosorum.tif
1 1 0.425 1 ../lost_rasters/Amphibia_Atelopus eusebiodiazi.tif
1 2 0.561 2 ../lost_rasters/Reptilia_Liolaemus cranwelli.tif
1 2 0.228 2 ../lost_rasters/Reptilia_Lepidodactylus labialis.tif
1 2 0.192 2 ../lost_rasters/Reptilia_Parvoscincus sisoni.tif
1 2 0.18 2 ../lost_rasters/Reptilia_Parvoscincus palawanensis.tif
1 2 0.327 2 ../lost_rasters/Reptilia_Brachymeles vermis.tif
1 2 0.319 2 ../lost_rasters/Reptilia_Lipinia semperi.tif
1 2 0.637 2 ../lost_rasters/Reptilia_Brachymeles wrighti.tif
1 2 0 2 ../lost_rasters/Reptilia_Diporiphora convergens.tif
1 2 0.227 2 ../lost_rasters/Reptilia_Gonocephalus lacunosus.tif
1 2 0.564 2 ../lost_rasters/Reptilia_Japalura dasi.tif
1 2 0.6 2 ../lost_rasters/Reptilia_Eutropis gansi.tif
1 2 0.867 2 ../lost_rasters/Reptilia_Chalcides pentadactylus.tif
1 2 0.106 2 ../lost_rasters/Reptilia_Amphiglossus mandady.tif
1 2 0.172 2 ../lost_rasters/Reptilia_Amphiglossus spilostichus.tif
1 2 0.106 2 ../lost_rasters/Reptilia_Amphiglossus stylus.tif
1 2 0.14 2 ../lost_rasters/Reptilia_Brookesia lambertoni.tif
1 2 0.172 2 ../lost_rasters/Reptilia_Paracontias tsararano.tif
1 2 0.154 2 ../lost_rasters/Reptilia_Pseudoacontias menamainty.tif
1 2 0.284 2 ../lost_rasters/Reptilia_Madatyphlops madagascariensis.tif
1 2 0.288 2 ../lost_rasters/Reptilia_Pseudoacontias unicolor.tif
1 2 0.132 2 ../lost_rasters/Reptilia_Paracontias manify.tif
1 2 0.427 2 ../lost_rasters/Reptilia_Lygodactylus ornatus.tif
1 2 0.17 2 ../lost_rasters/Reptilia_Phelsuma kely.tif
1 2 0.174 2 ../lost_rasters/Reptilia_Panaspis wilsoni.tif
1 2 0.108 2 ../lost_rasters/Reptilia_Lipinia miangensis.tif
1 2 0.28 2 ../lost_rasters/Reptilia_Stenocercus nigromaculatus.tif
1 2 0.172 2 ../lost_rasters/Reptilia_Stenocercus praeornatus.tif
1 1 0.203 1 ../lost_rasters/Amphibia_Phrynobatrachus intermedius.tif
1 2 0.068 2 ../lost_rasters/Reptilia_Geoscincus haraldmeieri.tif
1 2 0.163 2 ../lost_rasters/Reptilia_Celatiscincus euryotis.tif
1 2 0.155 2 ../lost_rasters/Reptilia_Lioscincus vivae.tif
1 2 0.055 2 ../lost_rasters/Reptilia_Nannoscincus garrulus.tif
1 2 0.234 2 ../lost_rasters/Reptilia_Nannoscincus manautei.tif
1 2 0.059 2 ../lost_rasters/Reptilia_Marmorosphax boulinda.tif
1 2 0.122 2 ../lost_rasters/Reptilia_Caledoniscincus cryptos.tif
1 2 0.06 2 ../lost_rasters/Reptilia_Nannoscincus rankini.tif
