id,class,order,family,species,iucn,criteria,population,systems,realm
22471818,Reptilia,Squamata,Scincidae,Trachylepis wingati,LC,,Unknown,Terrestrial,Afrotropical
22472118,Reptilia,Squamata,Sphaerodactylidae,Pristurus simonettai,LC,,Stable,Terrestrial,Afrotropical
22472168,Reptilia,Squamata,Sphaerodactylidae,Pristurus somalicus,LC,,Unknown,Terrestrial,Afrotropical
22472187,Reptilia,Squamata,Typhlopidae,Rhinotyphlops ataeniatus,LC,,Unknown,Terrestrial,Afrotropical
22472217,Reptilia,Squamata,Typhlopidae,Letheobia jubana,DD,,Unknown,Terrestrial,Afrotropical
22472242,Reptilia,Squamata,Typhlopidae,Letheobia largeni,DD,,Unknown,Terrestrial,Afrotropical
22472339,Reptilia,Squamata,Typhlopidae,Rhinotyphlops scorteccii,LC,,Unknown,Terrestrial,Afrotropical
22472356,Reptilia,Squamata,Typhlopidae,Letheobia somalica,LC,,Unknown,Terrestrial,Afrotropical
22472376,Reptilia,Squamata,Typhlopidae,Letheobia toritensis,LC,,Unknown,Terrestrial,Afrotropical
22472388,Reptilia,Squamata,Typhlopidae,Rhinotyphlops unitaeniatus,LC,,Unknown,Terrestrial,Afrotropical
22472487,Reptilia,Squamata,Typhlopidae,Afrotyphlops anomalus,LC,,Stable,Terrestrial,Afrotropical
22472533,Reptilia,Squamata,Typhlopidae,Afrotyphlops brevis,LC,,Unknown,Terrestrial,Afrotropical
22472565,Reptilia,Squamata,Typhlopidae,Afrotyphlops mucruso,LC,,Unknown,Terrestrial,Afrotropical
22472607,Reptilia,Squamata,Typhlopidae,Afrotyphlops schlegelii,LC,,Stable,Terrestrial,Afrotropical
22473415,Reptilia,Squamata,Typhlopidae,Rhinotyphlops boylei,LC,,Unknown,Terrestrial,Afrotropical
22473430,Reptilia,Squamata,Typhlopidae,Rhinotyphlops lalandei,LC,,Stable,Terrestrial,Afrotropical
22473461,Reptilia,Squamata,Typhlopidae,Rhinotyphlops leucocephalus,DD,,Unknown,Terrestrial,Afrotropical
22473530,Reptilia,Squamata,Typhlopidae,Rhinotyphlops schinzi,LC,,Stable,Terrestrial,Afrotropical
22473559,Reptilia,Squamata,Typhlopidae,Afrotyphlops calabresii,LC,,Unknown,Terrestrial,Afrotropical
22473581,Reptilia,Squamata,Typhlopidae,Afrotyphlops cuneirostris,DD,,Unknown,Terrestrial,Afrotropical
