id_no,species,mean_gHM,median_gHM,source
174099,Arcanumophis problematicus,0.23799402,0.234612554,dd_spp
45954066,Archboldomys maximus,0.14714389,0.146151602,dd_spp
191959,Argyrophis giandinhensis,0.863183645,0.892838597,dd_spp
178703,Argyrophis hypsobothrius,0.285317387,0.230044156,dd_spp
192003,Argyrophis klemmeri,0.928208394,0.936012566,dd_spp
178722,Argyrophis koshunensis,0.39952467,0.343913823,dd_spp
191999,Argyrophis oatesii,0.205191478,0.205191478,dd_spp
191991,Argyrophis roxaneae,0.851033152,0.86118868,dd_spp
178383,Argyrophis siamensis,0.415159617,0.363421142,dd_spp
191916,Argyrophis trangensis,0.566192616,0.681829453,dd_spp
203166,Aristelliger barbouri,0.028594148,0.020495672,dd_spp
55253,Aromobates alboguttatus,0.424253124,0.43116124,lost_spp
55062,Aromobates capurinensis,0.273396226,0.271243006,dd_spp
55255,Aromobates haydeeae,0.4302222,0.423644751,lost_spp
55104,Aromobates leopardalis,0.235394597,0.233578667,lost_spp
55258,Aromobates molinarii,0.470049344,0.457743883,lost_spp
55040,Aromobates nocturnus,0.24655633,0.247072354,lost_spp
55260,Aromobates serranus,0.312255585,0.294740021,lost_spp
190590,Arrhyton ainictum,0.447783081,0.42461504,dd_spp
190591,Arrhyton dolichura,0.524007349,0.484380335,dd_spp
190592,Arrhyton procerum,0.129003327,0.13060376,dd_spp
190594,Arrhyton supernum,0.269620311,0.260779142,dd_spp
2119,Arthroleptides dutoiti,0.369737433,0.306177318,lost_spp
202528,Arthroleptis anotis,0.328291446,0.330062494,dd_spp
54366,Arthroleptis bivittatus,0.507955883,0.514736891,dd_spp
54367,Arthroleptis brevipes,0.627969709,0.636253893,dd_spp
54368,Arthroleptis carquejai,0.10203344,0.082997169,dd_spp
15745196,Arthroleptis formosus,0.369789706,0.339123741,dd_spp
54372,Arthroleptis hematogaster,0.224318307,0.165723339,dd_spp
16770720,Arthroleptis kutogundua,0.377261559,0.375077143,lost_spp
54374,Arthroleptis loveridgei,0.118160728,0.148332,dd_spp
54376,Arthroleptis mossoensis,0.415840234,0.347042769,dd_spp
54378,Arthroleptis nimbaensis,0.210394943,0.166875705,dd_spp
54379,Arthroleptis phrynoides,0.228287781,0.153255701,dd_spp
54384,Arthroleptis spinalis,0.162891591,0.162026823,dd_spp
135901,Arthroleptis stridens,0.26119241,0.260346755,dd_spp
54390,Arthroleptis tuberosus,0.138948819,0.105798297,dd_spp
54392,Arthroleptis vercammeni,0.16351613,0.163577229,dd_spp
54396,Arthroleptis zimmeri,0.936067154,0.936701238,dd_spp
44578343,Arthrosaura testigensis,0.055678758,0.055529237,lost_spp
2132,Artibeus inopinatus,0.471455106,0.425181046,dd_spp
88109897,Artibeus schwartzi,0.460820988,0.447387338,dd_spp
80221456,Asellia italosomalica,0.240046881,0.158702426,dd_spp
64280,Aspidoscelis opatae,0.091841663,0.080957863,dd_spp
57734,Asterophrys eurydactyla,0.124560397,0.070175007,dd_spp
136926534,Asterophrys foja,0.026126828,0.026126828,dd_spp
47006112,Asterophrys marani,0.119132693,0.108013369,dd_spp
136020,Asterophrys pullifer,0.108013369,0.108013369,dd_spp
47113507,Asthenodipsas tropidonotus,0.326279417,0.271013498,dd_spp
149692406,Astrobatrachus kurichiyana,0.345675163,0.345876619,dd_spp
114619032,Asymblepharus mahabharatus,0.465912561,0.506715298,lost_spp
114619032,Asymblepharus mahabharatus,0.465912561,0.506715298,dd_spp
114619044,Asymblepharus nepalensis,0.751398236,0.751398236,lost_spp
114619044,Asymblepharus nepalensis,0.751398236,0.751398236,dd_spp
114619068,Asymblepharus tragbulensis,0.338566204,0.346210092,dd_spp
29417,Atelognathus ceii,0.065045231,0.064794645,dd_spp
2298,Atelognathus solitarius,0.087479838,0.079770543,dd_spp
54488,Atelopus angelito,0.327543894,0.243442625,lost_spp
18435521,Atelopus ardila,0.492051023,0.468219161,lost_spp
54490,Atelopus arthuri,0.278851442,0.26061216,lost_spp
54493,Atelopus boulengeri,0.34935599,0.208323419,lost_spp
54494,Atelopus carauta,0.190489467,0.195811786,lost_spp
54494,Atelopus carauta,0.190489467,0.195811786,dd_spp
54495,Atelopus carbonerensis,0.314427403,0.281554371,lost_spp
186064,Atelopus chirripoensis,0.117962934,0.119196266,lost_spp
186064,Atelopus chirripoensis,0.117962934,0.119196266,dd_spp
54499,Atelopus chocoensis,0.141318935,0.147060089,lost_spp
54503,Atelopus dimorphus,0.198124869,0.200701922,lost_spp
54503,Atelopus dimorphus,0.198124869,0.200701922,dd_spp
81646342,Atelopus ebenoides,0.281961568,0.243699141,lost_spp
54506,Atelopus erythropus,0.117568217,0.112583507,lost_spp
54507,Atelopus eusebianus,0.245587661,0.232296079,lost_spp
158466,Atelopus eusebiodiazi,0.393161452,0.424613371,lost_spp
54509,Atelopus famelicus,0.287114827,0.204995081,lost_spp
54510,Atelopus farci,0.492527366,0.492527366,lost_spp
54513,Atelopus galactogaster,0.129639495,0.111285273,lost_spp
54513,Atelopus galactogaster,0.129639495,0.111285273,dd_spp
18435526,Atelopus gigas,0.451762182,0.400511563,lost_spp
54515,Atelopus guanujo,0.398686864,0.290101409,lost_spp
54516,Atelopus guitarraensis,0.271764906,0.227223039,lost_spp
54516,Atelopus guitarraensis,0.271764906,0.227223039,dd_spp
54517,Atelopus halihelos,0.241353416,0.185999244,lost_spp
54521,Atelopus longibrachius,0.203125474,0.204056308,lost_spp
54524,Atelopus lynchi,0.216820077,0.21617604,lost_spp
54525,Atelopus mandingues,0.143690665,0.114035267,lost_spp
54525,Atelopus mandingues,0.143690665,0.114035267,dd_spp
54527,Atelopus minutulus,0.364933479,0.378942296,lost_spp
54528,Atelopus monohernandezii,0.263327684,0.2629572,lost_spp
54529,Atelopus mucubajiensis,0.267347007,0.274021298,lost_spp
54530,Atelopus muisca,0.158938929,0.140590817,lost_spp
54534,Atelopus nicefori,0.23435279,0.236502141,lost_spp
136173,Atelopus onorei,0.256531407,0.246789023,lost_spp
18435530,Atelopus orcesi,0.132571224,0.128037319,lost_spp
54535,Atelopus oxyrhynchus,0.390087255,0.411315322,lost_spp
54536,Atelopus pachydermus,0.212559379,0.169012696,lost_spp
54537,Atelopus palmatus,0.549149636,0.616184413,lost_spp
18435537,Atelopus pastuso,0.429144233,0.392678633,lost_spp
54538,Atelopus pedimarmoratus,0.098992845,0.096896838,lost_spp
54539,Atelopus peruensis,0.319401349,0.259842575,lost_spp
136038,Atelopus petersi,0.159236327,0.133964822,lost_spp
54540,Atelopus petriruizi,0.064747982,0.073617846,lost_spp
54541,Atelopus pictiventris,0.47572433,0.47558181,lost_spp
54542,Atelopus pinangoi,0.160656444,0.154262163,lost_spp
54543,Atelopus planispina,0.130838494,0.086178042,lost_spp
18435550,Atelopus podocarpus,0.260800902,0.15759933,lost_spp
135890,Atelopus pyrodactylus,0.065846115,0.066168547,lost_spp
54545,Atelopus quimbaya,0.566717753,0.568945765,lost_spp
54546,Atelopus reticulatus,0.101913403,0.099276274,lost_spp
54546,Atelopus reticulatus,0.101913403,0.099276274,dd_spp
54547,Atelopus sanjosei,0.290603584,0.231335148,lost_spp
54550,Atelopus sernai,0.404314226,0.425345749,lost_spp
54551,Atelopus simulatus,0.29845349,0.331409007,lost_spp
54552,Atelopus siranus,0.105244436,0.102479361,lost_spp
54552,Atelopus siranus,0.105244436,0.102479361,dd_spp
54553,Atelopus sonsonensis,0.311122708,0.280294865,lost_spp
54554,Atelopus sorianoi,0.32476828,0.325264126,lost_spp
54557,Atelopus subornatus,0.39776095,0.396709487,lost_spp
54558,Atelopus tamaense,0.126107343,0.102150802,lost_spp
54562,Atelopus walkeri,0.236036744,0.228093669,dd_spp
54563,Atelopus zeteki,0.314317575,0.319978684,lost_spp
44980097,Atheris acuminata,0.340488857,0.287910089,dd_spp
178406,Atheris hirsuta,0.129815176,0.119607046,dd_spp
44980195,Atheris subocularis,0.20813049,0.207880504,dd_spp
22728571,Atlapetes terborghi,0.14549163,0.136369258,lost_spp
56326,Atopophrynus syntomopus,0.271076858,0.270636186,lost_spp
20878152,Atractaspis leucomelas,0.163665886,0.141309664,dd_spp
20878174,Atractaspis phillipsi,0.637644797,0.701857746,dd_spp
20878185,Atractaspis scorteccii,0.162238736,0.148954153,dd_spp
44580244,Atractus apophis,0.283494042,0.267120928,dd_spp
44580262,Atractus atratus,0.162098994,0.136154532,dd_spp
44580271,Atractus attenuatus,0.383369818,0.403209835,dd_spp
