"number" "dsum" "count" "missing" "quant_error" "fname"
116 6.0 6 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sanjosei.tif"
117 29.0 29 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sernai.tif"
118 66.0 66 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_simulatus.tif"
119 3.0 3 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_siranus.tif"
120 28.0 28 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sonsonensis.tif"
121 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sorianoi.tif"
122 48.0 48 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_subornatus.tif"
123 9.0 9 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_tamaense.tif"
124 43.0 43 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_zeteki.tif"
125 234.0 234 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Atlapetes_terborghi.tif"
126 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atopophrynus_syntomopus.tif"
127 26.0 26 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Bachia_micromela.tif"
128 107.0 107 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Bachia_psamophila.tif"
129 8.0 8 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Baikia_africana.tif"
130 242.0 242 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Mammalia_Biswamoyopterus_biswasi.tif"
131 10.0 10 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Boana_clepsydra.tif"
132 6.0 6 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Boana_cymbalum.tif"
133 235.0 235 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Boana_secedens.tif"
134 9.0 9 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Bokermannohyla_izecksohni.tif"
135 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Bokermannohyla_langei.tif"
136 11.0 11 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Bolitoglossa_capitana.tif"
137 3.0 3 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Bolitoglossa_nussbaumi.tif"
138 1929.0 1929 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Mammalia_Bos_sauveli.tif"
139 231.0 231 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Brachycephalus_nodoterga.tif"
140 88.0 88 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_dalawangdaliri.tif"
141 27.0 27 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_isangdaliri.tif"
142 18.0 18 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_ligtas.tif"
143 422.0 422 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_lukbani.tif"
144 137.0 137 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_vermis.tif"
145 12.0 12 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brachymeles_wrighti.tif"
146 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Bronchocela_orlovi.tif"
147 68.0 68 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Brookesia_lambertoni.tif"
148 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Bufoides_kempi.tif"
149 24.0 24 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Mammalia_Calcochloris_tytonis.tif"
150 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Caledoniscincus_cryptos.tif"
151 1.0 1 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Caledoniscincus_terma.tif"
152 10512.0 10512 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Callaeas_cinereus.tif"
153 400.0 400 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Callixalus_pictus.tif"
154 9.0 9 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Calotes_bhutanensis.tif"
155 194.0 194 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Calyptura_cristata.tif"
156 21888.0 21888 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Campephilus_imperialis.tif"
157 48173.0 48173 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Campephilus_principalis.tif"
158 257.0 257 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Campylopterus_phainopeplus.tif"
159 1971.0 1971 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Caprimulgus_prigoginei.tif"
160 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Caribicus_anelpistus.tif"
161 3.0 3 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Carinascincus_palfreymani.tif"
162 3.0 3 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Carlia_sukur.tif"
163 19.0 19 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Celatiscincus_euryotis.tif"
164 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Celestus_fowleri.tif"
165 1.0 1 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Celestus_microblepharis.tif"
166 33.0 33 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Celestus_occiduus.tif"
167 593.0 593 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Centrolene_geckoidea.tif"
168 8.0 8 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Centrolene_pipilata.tif"
169 6.0 6 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Cercosaura_steyeri.tif"
170 20.0 20 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Chalcides_ebneri.tif"
171 16.0 16 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Chalcides_pentadactylus.tif"
172 1013.0 1013 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Charmosyna_amabilis.tif"
173 8.0 8 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Charmosyna_diadema.tif"
174 156.0 156 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Chiasmocleis_sapiranga.tif"
175 6.0 6 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Chirindia_mpwapwaensis.tif"
176 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Chiropterotriton_casasi.tif"
177 31.0 31 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Mammalia_Chrysochloris_visagiei.tif"
178 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Cnemaspis_andersonii.tif"
179 3.0 3 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Cnemaspis_bayuensis.tif"
