group weight wgrp filename
4 0.038 4 ../dd_rasters/Mammalia_Otomops_papuensis.tif
4 0.53 4 ../dd_rasters/Mammalia_Otomops_secundus.tif
4 0.168 4 ../dd_rasters/Mammalia_Paracrocidura_graueri.tif
4 0.165 4 ../dd_rasters/Mammalia_Paraleptomys_wilhelmina.tif
4 0.229 4 ../dd_rasters/Mammalia_Paraxerus_cooperi.tif
4 0.29 4 ../dd_rasters/Mammalia_Paraxerus_lucifer.tif
1 0.5 1 ../dd_rasters/Amphibia_Bufoides_kempi.tif
4 0.5 4 ../dd_rasters/Mammalia_Pelomys_hopkinsi.tif
4 0.679 4 ../dd_rasters/Mammalia_Peromyscus_furvus.tif
4 0.108 4 ../dd_rasters/Mammalia_Petaurillus_emiliae.tif
4 0.15 4 ../dd_rasters/Mammalia_Petaurillus_hosei.tif
4 0.513 4 ../dd_rasters/Mammalia_Petaurillus_kinlochii.tif
4 0.413 4 ../dd_rasters/Mammalia_Petinomys_hageni.tif
4 0.041 4 ../dd_rasters/Mammalia_Phyllotis_osgoodi.tif
4 0.249 4 ../dd_rasters/Mammalia_Pipistrellus_aero.tif
4 0.151 4 ../dd_rasters/Mammalia_Hypsugo_anthonyi.tif
4 0.25 4 ../dd_rasters/Mammalia_Hypsugo_arabicus.tif
4 0.268 4 ../dd_rasters/Mammalia_Pipistrellus_inexspectatus.tif
4 0.128 4 ../dd_rasters/Mammalia_Hypsugo_joffrei.tif
4 0.116 4 ../dd_rasters/Mammalia_Hypsugo_kitcheneri.tif
4 0.205 4 ../dd_rasters/Mammalia_Hypsugo_lophurus.tif
4 0.396 4 ../dd_rasters/Mammalia_Hypsugo_macrotis.tif
4 0.511 4 ../dd_rasters/Mammalia_Pipistrellus_minahassae.tif
4 0.576 4 ../dd_rasters/Mammalia_Falsistrellus_mordax.tif
4 0.698 4 ../dd_rasters/Mammalia_Pipistrellus_permixtus.tif
4 0.213 4 ../dd_rasters/Mammalia_Falsistrellus_petersi.tif
4 0.225 4 ../dd_rasters/Mammalia_Pithecheir_parvus.tif
4 0.059 4 ../dd_rasters/Mammalia_Pogonomys_championi.tif
4 0.111 4 ../dd_rasters/Mammalia_Prionomys_batesi.tif
4 0.295 4 ../dd_rasters/Mammalia_Proechimys_chrysaeolus.tif
4 0.013 4 ../dd_rasters/Mammalia_Proechimys_hoplomyoides.tif
4 0.4 4 ../dd_rasters/Mammalia_Proechimys_mincae.tif
4 0.162 4 ../dd_rasters/Mammalia_Proechimys_oconnelli.tif
4 0.34 4 ../dd_rasters/Mammalia_Proechimys_trinitatis.tif
4 0.148 4 ../dd_rasters/Mammalia_Psammomys_vexillaris.tif
4 0.103 4 ../dd_rasters/Mammalia_Pseudomys_pilligaensis.tif
4 0.331 4 ../dd_rasters/Mammalia_Pteropus_lombocensis.tif
4 0.261 4 ../dd_rasters/Mammalia_Pteropus_speciosus.tif
4 0.567 4 ../dd_rasters/Mammalia_Pteropus_loochoensis.tif
4 0.234 4 ../dd_rasters/Mammalia_Pudu_mephistophiles.tif
1 0.242 1 ../dd_rasters/Amphibia_Pulchrana_melanomenta.tif
4 0.175 4 ../dd_rasters/Mammalia_Rattus_tawitawiensis.tif
4 0.207 4 ../dd_rasters/Mammalia_Rattus_adustus.tif
4 0.207 4 ../dd_rasters/Mammalia_Rattus_enganus.tif
4 0.211 4 ../dd_rasters/Mammalia_Rattus_koopmani.tif
4 0.18 4 ../dd_rasters/Mammalia_Rattus_korinchi.tif
4 0.211 4 ../dd_rasters/Mammalia_Rattus_pelurus.tif
4 0.287 4 ../dd_rasters/Mammalia_Rattus_timorensis.tif
4 0.135 4 ../dd_rasters/Mammalia_Reithrodontomys_burti.tif
4 0.399 4 ../dd_rasters/Mammalia_Reithrodontomys_paradoxus.tif
4 0.488 4 ../dd_rasters/Mammalia_Rhinolophus_adami.tif
4 0.526 4 ../dd_rasters/Mammalia_Rhinolophus_mitratus.tif
4 0.158 4 ../dd_rasters/Mammalia_Rhinolophus_nereis.tif
4 0.096 4 ../dd_rasters/Mammalia_Rhinolophus_silvestris.tif
4 0.309 4 ../dd_rasters/Mammalia_Rhinolophus_subrufus.tif
4 0.334 4 ../dd_rasters/Mammalia_Rhinolophus_keyensis.tif
4 0.193 4 ../dd_rasters/Mammalia_Rhinopoma_macinnesi.tif
4 0.323 4 ../dd_rasters/Mammalia_Rhipidomys_caucensis.tif
4 0.174 4 ../dd_rasters/Mammalia_Rhipidomys_ochrogaster.tif
4 0.018 4 ../dd_rasters/Mammalia_Saccopteryx_gymnura.tif
4 0.164 4 ../dd_rasters/Mammalia_Salpingotus_heptneri.tif
4 0.186 4 ../dd_rasters/Mammalia_Salpingotulus_michaelis.tif
4 0.076 4 ../dd_rasters/Mammalia_Salpingotus_pallidus.tif
4 0.082 4 ../dd_rasters/Mammalia_Sciurus_arizonensis.tif
4 0.067 4 ../dd_rasters/Mammalia_Sciurus_flammifer.tif
4 0.043 4 ../dd_rasters/Mammalia_Sciurus_gilvigularis.tif
4 0.268 4 ../dd_rasters/Mammalia_Sciurus_pucheranii.tif
4 0.213 4 ../dd_rasters/Mammalia_Sciurus_pyrrhinus.tif
4 0.06 4 ../dd_rasters/Mammalia_Sciurus_sanborni.tif
4 0.01 4 ../dd_rasters/Mammalia_Scleronycteris_ega.tif
4 0.217 4 ../dd_rasters/Mammalia_Scotoecus_albofuscus.tif
4 0.552 4 ../dd_rasters/Mammalia_Scotophilus_borbonicus.tif
4 0.218 4 ../dd_rasters/Mammalia_Scotophilus_celebensis.tif
4 0.061 4 ../dd_rasters/Mammalia_Selevinia_betpakdalaensis.tif
4 0.046 4 ../dd_rasters/Mammalia_Sicista_caudata.tif
4 0.1 4 ../dd_rasters/Mammalia_Sicista_pseudonapaea.tif
4 0.241 4 ../dd_rasters/Mammalia_Tanyuromys_aphrastus.tif
4 0.044 4 ../dd_rasters/Mammalia_Sminthopsis_archeri.tif
4 0.155 4 ../dd_rasters/Mammalia_Solomys_salamonis.tif
4 0.233 4 ../dd_rasters/Mammalia_Sorex_cansulus.tif
4 0.136 4 ../dd_rasters/Mammalia_Sorex_kozlovi.tif
4 0.024 4 ../dd_rasters/Mammalia_Sorex_leucogaster.tif
4 0.213 4 ../dd_rasters/Mammalia_Sorex_sinalis.tif
4 0.357 4 ../dd_rasters/Mammalia_Chodsigoa_salenskii.tif
2 0 2 ../dd_rasters/Reptilia_Sphaerodactylus_micropithecus.tif
4 0.283 4 ../dd_rasters/Mammalia_Coendou_vestitus.tif
4 0.699 4 ../dd_rasters/Mammalia_Steatomys_jacksoni.tif
4 0.02 4 ../dd_rasters/Mammalia_Surdisorex_polulus.tif
4 0.162 4 ../dd_rasters/Mammalia_Suncus_ater.tif
4 0.043 4 ../dd_rasters/Mammalia_Suncus_hosei.tif
4 0.224 4 ../dd_rasters/Mammalia_Sundasciurus_rabori.tif
4 0.169 4 ../dd_rasters/Mammalia_Sylvilagus_insonus.tif
4 0.118 4 ../dd_rasters/Mammalia_Sylvisorex_oriundus.tif
4 0.229 4 ../dd_rasters/Mammalia_Syntheosciurus_brochus.tif
4 0.237 4 ../dd_rasters/Mammalia_Tadarida_ventralis.tif
4 0.311 4 ../dd_rasters/Mammalia_Taphozous_achates.tif
4 0.239 4 ../dd_rasters/Mammalia_Taphozous_hamiltoni.tif
1 0.003 1 ../dd_rasters/Amphibia_Telmatobius_halli.tif
4 0.02 4 ../dd_rasters/Mammalia_Thallomys_shortridgei.tif
4 0.008 4 ../dd_rasters/Mammalia_Thyroptera_lavali.tif
4 0.212 4 ../dd_rasters/Mammalia_Tonatia_bidens.tif
2 0.133 2 ../dd_rasters/Reptilia_Tribolonotus_ponceleti.tif
4 0.279 4 ../dd_rasters/Mammalia_Tryphomys_adustus.tif
4 0.021 4 ../dd_rasters/Mammalia_Tylomys_fulviventer.tif
4 0.049 4 ../dd_rasters/Mammalia_Tylomys_panamensis.tif
1 0 1 ../dd_rasters/Amphibia_Uperoleia_marmorata.tif
1 0.01 1 ../dd_rasters/Amphibia_Uperoleia_orientalis.tif
4 0.117 4 ../dd_rasters/Mammalia_Uropsilus_investigator.tif
4 0.288 4 ../dd_rasters/Mammalia_Vampyressa_pusilla.tif
4 0.11 4 ../dd_rasters/Mammalia_Volemys_musseri.tif
1 0.286 1 ../dd_rasters/Amphibia_Ichthyophis_glandulosus.tif
4 0.278 4 ../dd_rasters/Mammalia_Hylaeamys_tatei.tif
4 0.115 4 ../dd_rasters/Mammalia_Euryoryzomys_emmonsae.tif
2 0.187 2 ../dd_rasters/Reptilia_Alopoglossus_gorgonae.tif
